Name,Density,MinCol,MaxCol,StdCol,MinRow,MaxRow,StdRow,reducts,BR_time,BR_cand,GAP_time,GAP_cand,CT_time,CT_cand,faster
BM2000x30_4-6_s807311794.txt,0.1648,282,366,0.0075,4,6,0.0271,127218,106857,293547296,4733,20828553,105549,1005133244,gapCText
BM2000x30_4-6_s723866051.txt,0.165,303,359,0.0071,4,6,0.0266,130621,110006,300704496,4357,19052339,92932,1005021863,gapCText
BM2000x30_4-6_s377769299.txt,0.1651,301,367,0.008,4,6,0.0267,130147,102785,278751820,4632,19919446,127129,1004426583,gapCText
BM2000x30_4-8_s358336879.txt,0.1882,338,401,0.0071,4,8,0.0423,183004,135784,387765975,7083,33893037,93276,1002214100,gapCText
BM2000x30_4-8_s567526991.txt,0.1894,351,417,0.0089,4,8,0.0424,192890,138895,398530615,7810,35323932,102386,1002295420,gapCText
BM2000x30_4-8_s422476398.txt,0.1908,354,406,0.0069,4,8,0.0421,201010,137955,395417478,7820,36114508,96058,1001060074,gapCText
BM2000x30_4-8_s227151729.txt,0.1909,347,421,0.0093,4,8,0.0426,199910,138446,392429038,7527,35142250,97179,1000445490,gapCText
BM2000x30_4-8_s280475004.txt,0.191,349,411,0.0081,4,8,0.043,188067,142038,395673595,7906,35452262,97521,1001772462,gapCText
BM2000x30_4-8_s580821414.txt,0.1917,352,426,0.0085,4,8,0.0431,199856,139463,397515258,8397,39987223,96587,1001532354,gapCText
BM2000x30_5-7_s640587517.txt,0.1988,365,425,0.008,5,7,0.027,738120,209337,550622169,27718,101551035,129226,1019455384,gapCText
BM2000x30_5-7_s685373673.txt,0.1993,360,447,0.0106,5,7,0.0269,742884,199910,539862744,27428,103731669,142417,1016588949,gapCText
BM2000x30_5-7_s997301800.txt,0.1994,369,420,0.0064,5,7,0.0267,760985,209447,561035633,26663,100159692,115353,1018551420,gapCText
BM2000x30_5-7_s1005612798.txt,0.1996,367,429,0.0076,5,7,0.0269,753697,216290,571300565,27526,103802931,116218,1016136470,gapCText
BM2000x30_5-7_s1053070487.txt,0.2001,363,442,0.0089,5,7,0.0271,760692,208815,558315299,27280,98869320,118115,1018035617,gapCText
BM2000x30_5-7_s907692639.txt,0.2007,373,431,0.0068,5,7,0.0273,764974,216308,576764443,28342,101675335,142542,1015392139,gapCText
BM2000x30_4-10_s428487413.txt,0.203,362,445,0.0085,4,10,0.0523,212341,159424,446744143,9207,39139251,94810,999176299,gapCText
BM2000x30_4-10_s768755240.txt,0.2069,368,444,0.0088,4,10,0.0532,234369,161298,466556115,11212,50611854,97969,999376143,gapCText
BM2000x30_4-10_s44431574.txt,0.2077,390,445,0.0074,4,10,0.053,240797,167839,478520173,11823,54597948,95904,999195999,gapCText
BM2000x30_4-10_s665427740.txt,0.2086,385,455,0.008,4,10,0.0532,250883,170478,496052298,11158,49840205,99558,999218727,gapCText
BM2000x30_4-10_s241217788.txt,0.2093,395,452,0.0068,4,10,0.0523,255050,177576,504244276,12810,64302205,96360,996028139,gapCText
BM2000x30_4-10_s128869163.txt,0.2095,384,452,0.0082,4,10,0.0522,263904,160515,468249853,11856,52026207,98827,996206442,gapCText
BM2000x30_4-12_s1070288333.txt,0.213,384,451,0.0081,4,12,0.0564,254108,178303,508966344,13071,53262199,96398,1000699340,gapCText
BM2000x30_4-12_s335072683.txt,0.2146,389,458,0.0086,4,11,0.0573,245632,163764,484285679,11429,53619060,94956,992188324,gapCText
BM2000x30_4-20_s574649686.txt,0.216,405,461,0.0082,4,12,0.0576,262168,168134,483480195,11869,53975465,92074,995472528,gapCText
BM2000x30_4-22_s404017021.txt,0.2162,396,460,0.0083,4,13,0.0583,255597,175192,507618115,11996,50557641,96614,998322350,gapCText
BM2000x30_4-28_s742019983.txt,0.2166,401,478,0.0092,4,12,0.0578,271735,175515,496923710,13143,63475881,106463,996739976,gapCText
BM2000x30_4-22_s31718080.txt,0.2169,402,462,0.0086,4,12,0.0579,267545,163060,482434750,13417,61362811,91112,996052661,gapCText
