Name,Density,MinCol,MaxCol,StdCol,MinRow,MaxRow,StdRow,reducts,BR_time,BR_cand,GAP_time,GAP_cand,faster,time
BM1000x30_1-4_s898672132.txt,0.1256,99,168,0.0154,2,4,0.0163,8103,39437,102937155,384,1904098,GCSDM,384
BM1000x30_1-4_s750070702.txt,0.1277,103,151,0.0118,2,4,0.0134,20640,58009,137157545,969,5168609,GCSDM,969
BM1000x30_1-5_s600358373.txt,0.1568,1,206,0.0456,1,5,0.0195,44909,84315,216517310,3071,20197623,GCSDM,3071
BM1000x30_1-5_s453499446.txt,0.1570,1,184,0.0326,1,5,0.0190,67802,87782,218132108,3373,17440899,GCSDM,3373
BM1000x30_1-5_s294107879.txt,0.1577,118,195,0.0197,2,5,0.0185,94134,139440,357619636,4283,25128623,GCSDM,4283
BM1000x30_2-5_s575771950.txt,0.1582,119,193,0.0173,2,5,0.0177,113552,141475,364529971,6107,28804986,GCSDM,6107
BM1000x30_2-5_s275351774.txt,0.1593,138,188,0.0141,3,5,0.0160,183681,168780,412302448,7325,37822775,GCSDM,7325
BM1000x30_2-5_s797954261.txt,0.1598,130,183,0.0128,2,5,0.0156,189836,154684,380117726,9190,43277420,GCSDM,9190
BM1000x30_2-6_s273261205.txt,0.1893,169,211,0.0113,3,6,0.0206,519865,212877,539113066,31249,142425842,GCSDM,31249
BM1000x30_1-6_s753440151.txt,0.1897,162,208,0.0102,3,6,0.0203,525642,217925,541004588,29196,128535973,GCSDM,29196
BM1000x30_3-6_s817529151.txt,0.1902,166,215,0.0103,3,6,0.0182,679052,224013,543247708,33228,136699125,GCSDM,33228
BM1000x30_2-6_s745872976.txt,0.1904,167,214,0.0126,3,6,0.0182,700468,232582,568636703,27534,146945577,GCSDM,27534
BM1000x30_1-6_s913669365.txt,0.1908,142,229,0.0174,2,6,0.0189,564745,187600,469447145,28761,116609562,GCSDM,28761
BM1000x30_3-6_s327799283.txt,0.1910,163,216,0.0130,3,6,0.0185,639060,219031,543257906,31015,138877434,GCSDM,31015
BM1000x30_1-6_s920044456.txt,0.1911,168,220,0.0111,3,6,0.0178,703746,223153,543408309,32443,134273578,GCSDM,32443
BM1000x30_3-6_s13724988.txt,0.1915,168,226,0.0110,3,6,0.0177,717244,225521,540829215,34007,146766931,GCSDM,34007
BM1000x30_2-6_s509774229.txt,0.1919,163,223,0.0120,3,6,0.0167,782990,234231,559640831,36277,141791495,GCSDM,36277
BM1000x30_1-7_s158945604.txt,0.2200,183,265,0.0168,2,7,0.0226,1045405,167328,418333438,52120,210529495,GCSDM,52120
BM1000x30_1-7_s775371672.txt,0.2207,195,250,0.0116,3,7,0.0217,1237557,199110,487562071,59257,231956238,GCSDM,59257
BM1000x30_2-7_s582561878.txt,0.2207,199,250,0.0109,3,7,0.0223,1199064,203311,500185081,61818,239462628,GCSDM,61818
BM1000x30_2-7_s959723819.txt,0.2208,165,247,0.0188,2,7,0.0232,980194,163316,420072097,40202,186318361,GCSDM,40202
BM1000x30_4-7_s114997419.txt,0.2213,192,256,0.0143,4,7,0.0211,1376271,211575,527972828,67968,252306034,GCSDM,67968
BM1000x30_4-7_s401191205.txt,0.2213,195,252,0.0139,4,7,0.0214,1387215,210626,529318859,64891,256740682,GCSDM,64891
BM1000x30_1-7_s324479982.txt,0.2214,193,245,0.0130,3,7,0.0220,1201729,194313,486955009,59021,240658929,GCSDM,59021
BM1000x30_2-7_s217466082.txt,0.2216,199,245,0.0127,3,7,0.0210,1383204,197678,481612248,67317,241284282,GCSDM,67317
BM1000x30_3-7_s776622813.txt,0.2216,203,254,0.0122,3,7,0.0208,1374857,198911,489113846,60272,236672400,GCSDM,60272
BM1000x30_3-7_s891446421.txt,0.2220,196,257,0.0130,3,7,0.0204,1464563,195229,486146986,64149,249574758,GCSDM,64149
BM1000x30_4-7_s471343228.txt,0.2220,189,243,0.0121,4,7,0.0212,1359630,208782,518282723,65930,257535225,GCSDM,65930
BM1000x30_3-7_s657967974.txt,0.2221,197,246,0.0110,4,7,0.0203,1453033,215102,526721601,63766,247348903,GCSDM,63766
BM1000x30_1-8_s164136806.txt,0.2505,193,276,0.0172,2,8,0.0254,1544086,120438,309035528,62146,238587621,GCSDM,62146
BM1000x30_3-8_s981770025.txt,0.2507,224,280,0.0143,4,8,0.0260,1812595,160961,410717518,72924,291066827,GCSDM,72924
BM1000x30_3-8_s52174865.txt,0.2509,222,270,0.0119,4,8,0.0251,1885981,160896,408899613,91710,306804146,GCSDM,91710
BM1000x30_4-8_s712748798.txt,0.2510,227,272,0.0119,4,8,0.0248,1960330,156695,404700268,82384,305490624,GCSDM,82384
BM1000x30_1-8_s784917488.txt,0.2511,224,273,0.0122,4,8,0.0251,1836886,159381,405883579,86744,310887707,GCSDM,86744
BM1000x30_2-8_s639267669.txt,0.2516,227,281,0.0129,4,8,0.0245,1850040,157928,407632974,95438,318162025,GCSDM,95438
BM1000x30_2-8_s36868596.txt,0.2516,223,285,0.0127,3,8,0.0245,1864758,142229,362109384,73570,276985242,GCSDM,73570
BM1000x30_2-8_s641833894.txt,0.2518,199,286,0.0154,4,8,0.0246,1854658,159672,409021858,91884,316453902,GCSDM,91884
BM1000x30_4-8_s805856558.txt,0.2522,227,283,0.0148,4,8,0.0236,2066447,151821,385953019,80942,292460979,GCSDM,80942
BM1000x30_1-8_s587891704.txt,0.2525,227,289,0.0154,5,8,0.0237,2091497,161349,415960064,83116,305626721,GCSDM,83116
BM1000x30_4-8_s394651187.txt,0.2525,232,274,0.0091,5,8,0.0235,2089836,163035,411131615,94493,311122928,GCSDM,94493
BM1000x30_3-8_s692372035.txt,0.2528,213,284,0.0133,4,8,0.0224,2121596,159387,395816313,95102,321691265,GCSDM,95102
BM1000x30_5-8_s268310457.txt,0.2530,223,278,0.0128,5,8,0.0229,2183011,164142,412845374,96430,318493550,GCSDM,96430
BM1000x30_5-8_s299239824.txt,0.2535,224,280,0.0146,5,8,0.0217,2220477,165616,406019253,96371,318709427,GCSDM,96371
BM1000x30_5-8_s193283613.txt,0.2536,221,292,0.0169,5,8,0.0223,2198488,159286,401552660,92843,317470013,GCSDM,92843
BM1000x30_3-9_s579045397.txt,0.2797,257,306,0.0134,4,9,0.0299,1919056,108408,290346124,79660,286314347,GCSDM,79660
BM1000x30_5-9_s398635955.txt,0.2805,255,315,0.0146,5,9,0.0284,2281141,116422,305972689,90972,322772078,GCSDM,90972
BM1000x30_3-9_s373096753.txt,0.2806,253,312,0.0137,4,9,0.0291,1993894,108970,290967336,89914,300672277,GCSDM,89914
BM1000x30_4-9_s952967956.txt,0.2809,247,304,0.0145,5,9,0.0287,2236864,114118,297605700,91380,308723127,GCSDM,91380
BM1000x30_2-9_s363239851.txt,0.2812,240,319,0.0195,3,9,0.0272,2166300,97695,261243237,86923,277940479,GCSDM,86923
BM1000x30_4-9_s692928883.txt,0.2813,258,306,0.0133,4,9,0.0279,2267017,107981,281861453,99883,320005296,GCSDM,99883
BM1000x30_5-9_s707453554.txt,0.2815,261,309,0.0100,5,9,0.0273,2367617,111827,294242257,93006,308616747,GCSDM,93006
BM1000x30_5-9_s534258696.txt,0.2816,244,313,0.0167,5,9,0.0266,2445198,113346,290844298,104344,329345229,GCSDM,104344
BM1000x30_1-9_s7547757.txt,0.2818,253,301,0.0124,4,9,0.0272,2308569,108069,281728480,95114,315035726,GCSDM,95114
BM1000x30_1-9_s5121154.txt,0.2823,243,310,0.0148,5,9,0.0269,2442673,111964,288171478,93328,317245734,GCSDM,93328
BM1000x30_3-9_s563082706.txt,0.2823,263,320,0.0130,4,9,0.0275,2285836,105189,274973995,88751,301822198,GCSDM,88751
BM1000x30_2-9_s133032663.txt,0.2824,252,307,0.0130,4,9,0.0275,2275878,106056,271142757,81300,283810607,GCSDM,81300
BM1000x30_4-9_s479198322.txt,0.2826,254,309,0.0139,5,9,0.0272,2391905,108727,284004400,85926,303621896,GCSDM,85926
BM1000x30_2-9_s417743697.txt,0.2828,263,314,0.0120,3,9,0.0268,2227324,96082,249570762,96113,293574351,fastBR,96082
BM1000x30_6-9_s254840406.txt,0.2830,254,306,0.0126,6,9,0.0257,2618782,117235,302057597,114971,346187555,GCSDM,114971
BM1000x30_6-9_s1004297990.txt,0.2833,249,317,0.0149,6,9,0.0255,2564945,113337,290266994,103616,328033876,GCSDM,103616
BM1000x30_1-9_s616486137.txt,0.2834,245,315,0.0163,4,9,0.0258,2423743,106150,273989898,102353,323473509,GCSDM,102353
BM1000x30_6-9_s335127310.txt,0.2840,255,315,0.0144,6,9,0.0251,2589903,109589,287403580,97257,324641676,GCSDM,97257
BM1000x30_5-10_s1040292408.txt,0.3086,284,333,0.0134,5,10,0.0331,2221681,76581,209527420,85177,276153647,fastBR,76581
BM1000x30_3-10_s826557036.txt,0.3087,269,339,0.0170,4,10,0.0332,2201558,71651,194348562,86115,273949621,fastBR,71651
BM1000x30_1-10_s997310813.txt,0.3095,275,334,0.0155,5,10,0.0305,2421011,74120,198771330,83242,265404902,fastBR,74120
BM1000x30_3-10_s1001699534.txt,0.3098,280,336,0.0145,5,10,0.0325,2286605,73270,201539270,84945,279691493,fastBR,73270
BM1000x30_6-10_s392989819.txt,0.3098,265,336,0.0164,6,10,0.0310,2414851,77090,205730457,99220,291953572,fastBR,77090
BM1000x30_4-10_s449301238.txt,0.3108,280,364,0.0158,5,10,0.0315,2250604,72505,201285543,89342,277106458,fastBR,72505
BM1000x30_4-10_s937957389.txt,0.3108,278,339,0.0149,4,10,0.0322,2265334,68917,187809381,80458,262656813,fastBR,68917
BM1000x30_5-10_s631270540.txt,0.3108,278,339,0.0146,6,10,0.0317,2368271,77740,208543420,93039,293679167,fastBR,77740
BM1000x30_1-10_s252516355.txt,0.3110,286,339,0.0114,5,10,0.0308,2374976,72962,200466138,85837,276598193,fastBR,72962
BM1000x30_6-10_s452381560.txt,0.3110,287,350,0.0116,6,10,0.0306,2464913,75808,203490266,86384,271189255,fastBR,75808
BM1000x30_4-10_s171751424.txt,0.3112,280,339,0.0148,4,10,0.0323,2167829,69185,186128125,74344,257717596,fastBR,69185
BM1000x30_2-10_s358517167.txt,0.3113,281,343,0.0144,5,10,0.0300,2491071,77091,198507205,92307,276810549,fastBR,77091
BM1000x30_2-10_s34902652.txt,0.3114,280,339,0.0125,5,10,0.0308,2201385,72403,195350647,84559,278745200,fastBR,72403
BM1000x30_3-10_s1004712987.txt,0.3117,279,354,0.0168,5,10,0.0316,2201394,71844,197847223,84800,268461886,fastBR,71844
BM1000x30_6-10_s853327754.txt,0.3120,280,345,0.0151,6,10,0.0308,2379563,72921,197135679,80660,262950170,fastBR,72921
BM1000x30_2-10_s698650467.txt,0.3123,286,351,0.0133,4,10,0.0307,2311467,66587,180305999,83665,263157405,fastBR,66587
BM1000x30_7-10_s938889722.txt,0.3126,273,337,0.0148,7,10,0.0274,2695558,74277,194285438,88745,271857893,fastBR,74277
BM1000x30_1-10_s958147607.txt,0.3130,283,344,0.0142,4,10,0.0307,2204774,66771,181985116,84501,268477433,fastBR,66771
BM1000x30_5-10_s645541078.txt,0.3130,286,337,0.0135,6,10,0.0297,2458721,72399,193936541,85842,269720641,fastBR,72399
BM1000x30_7-10_s378103564.txt,0.3133,277,343,0.0146,7,10,0.0278,2695601,70971,192751267,86413,268843259,fastBR,70971
BM1000x30_7-10_s24676207.txt,0.3141,279,338,0.0144,7,10,0.0274,2592137,71482,190641229,89244,270984629,fastBR,71482
