Name,Density,MinCol,MaxCol,StdCol,MinRow,MaxRow,StdRow,reducts,BR_time,BR_cand,CT_time,CT_cand,R_time,R_cand,GAP_time,GAP_cand,faster,BestTime
BM2000x30_3-7_s859786573.txt,0.2211,415,479,0.0081,3,7,0.0208,1244066,312483,556276870,201771,878147659,194109,866039760,54796,167140168,GCSDM,54796
BM2000x30_3-7_s1008414702.txt,0.2213,397,483,0.0101,3,7,0.0213,1313716,318706,559913741,204227,878443029,195977,865436947,77788,175613059,GCSDM,77788
BM2000x30_3-7_s311961651.txt,0.2220,390,486,0.0109,3,7,0.0215,1138166,314300,559668101,196531,877590857,192797,864553775,72394,176661325,GCSDM,72394
BM2000x30_1-9_s714497630.txt,0.2807,519,599,0.0103,3,9,0.0283,2675774,222898,407387951,225612,677445283,207825,645526946,157125,306540977,GCSDM,157125
BM2000x30_1-9_s781546728.txt,0.2809,515,600,0.0106,4,9,0.0291,2525301,240948,445534184,232407,740615806,218542,707347307,159228,326517562,GCSDM,159228
BM2000x30_1-9_s492658088.txt,0.2811,531,609,0.0102,4,9,0.0274,2827599,236900,435359444,229308,719745620,213064,685376991,156627,313767506,GCSDM,156627
BM2000x30_8-12_s984537796.txt,0.3669,699,786,0.0100,8,12,0.0365,3437116,90841,167526825,171785,348039035,146430,313706587,155368,252809909,fastBR,90841
BM2000x30_8-12_s68672004.txt,0.3676,690,776,0.0105,8,12,0.0368,3467808,88985,169363749,162553,340746038,138524,306718252,146203,244509507,fastBR,88985
BM2000x30_8-12_s85208394.txt,0.3678,689,785,0.0091,8,12,0.0368,3470643,87777,167554172,165044,342469552,145406,308247265,144766,244567014,fastBR,87777
BM2000x30_6-14_s171502389.txt,0.4137,802,858,0.0078,7,14,0.0509,2340986,48984,99300619,119235,238211438,100437,209061440,108503,183310800,fastBR,48984
BM2000x30_6-14_s840048383.txt,0.4148,772,874,0.0112,7,14,0.0498,2476831,47434,95963620,109360,218507001,94474,192445237,100101,168378591,fastBR,47434
BM2000x30_6-14_s253764063.txt,0.4150,777,879,0.0117,6,14,0.0512,2243553,46190,93409023,99633,217201378,87765,189447980,91426,162600887,fastBR,46190
BM2000x30_4-16_s966761959.txt,0.4493,858,952,0.0125,6,16,0.0641,1716888,30227,63383628,88086,170152560,72797,146544328,81441,136455129,fastBR,30227
BM2000x30_4-16_s1025870044.txt,0.4519,857,941,0.0098,7,16,0.0643,1733243,32225,66308902,85129,168753900,69062,145853612,79217,135002330,fastBR,32225
BM2000x30_4-16_s940517447.txt,0.4527,862,956,0.0112,6,16,0.0645,1746385,32086,67527634,96192,183062476,79137,158382657,89915,148696231,fastBR,32086
BM2000x30_2-18_s381462999.txt,0.4704,902,1003,0.0120,5,18,0.0757,1571279,25710,54211560,76459,145516444,61929,124908343,70973,120142483,fastBR,25710
BM2000x30_2-18_s231144519.txt,0.4725,899,987,0.0116,5,18,0.0738,1411159,23263,50046530,63004,131771440,52637,112661667,56821,103810920,fastBR,23263
BM2000x30_2-18_s695505690.txt,0.4731,900,998,0.0122,6,18,0.0759,1515220,25206,53359964,77837,148556764,63329,126797987,73603,121144142,fastBR,25206
BM2000x30_13-17_s349923722.txt,0.4739,943,1043,0.0096,13,17,0.0446,1486258,11043,22082010,32947,49384428,23722,40392073,31509,44749549,fastBR,11043
BM2000x30_13-17_s857154829.txt,0.4742,963,1053,0.0109,13,17,0.0452,1469000,10959,21846998,34465,51218302,25625,41528499,33196,46386399,fastBR,10959
BM2000x30_13-17_s483606805.txt,0.4747,968,1047,0.0111,13,17,0.0444,1475143,10906,21710231,31722,48356402,23791,39652783,30601,43709648,fastBR,10906
BM2000x30_11-19_s833258984.txt,0.4756,941,1032,0.0115,11,19,0.0707,1530222,16585,33745256,48184,80830927,37423,67823045,46603,70567343,fastBR,16585
BM2000x30_11-19_s173359562.txt,0.4773,933,1034,0.0121,11,19,0.0699,1522908,16093,32700705,45145,77311188,35977,64945299,43295,67034921,fastBR,16093
BM2000x30_11-19_s914797004.txt,0.4784,965,1020,0.0074,11,19,0.0712,1510823,15941,32637071,45516,77647076,35840,65278648,43795,67215510,fastBR,15941
BM2000x30_9-21_s267909227.txt,0.4790,930,1032,0.0104,9,21,0.0752,1575847,21194,43295105,68249,115357812,54578,97735010,64216,99526807,fastBR,21194
BM2000x30_9-21_s752814085.txt,0.4794,931,1010,0.0090,9,20,0.0761,1623454,21765,45473313,63157,113647168,50237,96512799,58897,94989323,fastBR,21765
BM2000x30_9-21_s636964542.txt,0.4798,953,1010,0.0073,9,21,0.0763,1600331,21188,43700967,60944,111382996,50018,94756791,57713,93332452,fastBR,21188
BM2000x30_7-23_s394712224.txt,0.4826,915,1002,0.0129,7,21,0.0783,1543312,24462,51602234,68362,133690138,55850,114261532,63125,109478132,fastBR,24462
BM2000x30_7-23_s769490921.txt,0.4829,894,994,0.0099,7,20,0.0776,1560641,24276,50791308,75565,139366177,60331,119720297,69782,114054953,fastBR,24276
BM2000x30_7-23_s287297044.txt,0.4837,922,993,0.0087,7,20,0.0775,1517609,22410,47603638,61795,122084232,49012,104261073,57813,99464832,fastBR,22410
BM2000x30_5-25_s899754552.txt,0.4848,911,982,0.0097,5,20,0.0784,1405747,23957,51288475,61735,133236572,51142,114332595,56760,105174752,fastBR,23957
BM2000x30_5-25_s155714038.txt,0.4865,913,1013,0.0104,7,20,0.0783,1497939,24572,51496624,73791,143312602,60149,122963260,68666,115756342,fastBR,24572
